Estado,Data,Casos Acumulados,Projeção
PI,20/03/2020,3,3
PI,21/03/2020,4,4
PI,22/03/2020,4,4
PI,23/03/2020,6,6
PI,24/03/2020,6,6
PI,25/03/2020,8,8
PI,26/03/2020,9,9
PI,27/03/2020,9,9
PI,28/03/2020,11,11
PI,29/03/2020,14,14
PI,30/03/2020,16,16
PI,31/03/2020,18,18
PI,01/04/2020,18,18
PI,02/04/2020,19,19
PI,03/04/2020,21,21
PI,04/04/2020,22,22
PI,05/04/2020,23,23
PI,06/04/2020,23,23
PI,07/04/2020,28,28
PI,08/04/2020,31,31
PI,09/04/2020,38,38
PI,10/04/2020,40,40
PI,11/04/2020,41,41
PI,12/04/2020,44,44
PI,13/04/2020,50,50
PI,14/04/2020,58,58
PI,15/04/2020,75,75
PI,16/04/2020,91,91
PI,17/04/2020,102,102
PI,18/04/2020,123,123
PI,19/04/2020,145,145
PI,20/04/2020,158,158
PI,21/04/2020,186,186
PI,22/04/2020,206,206
PI,23/04/2020,217,217
PI,24/04/2020,256,256
PI,25/04/2020,297,297
PI,26/04/2020,331,331
PI,27/04/2020,364,364
PI,28/04/2020,408,408
PI,29/04/2020,454,454
PI,30/04/2020,513,513
PI,01/05/2020,600,600
PI,02/05/2020,665,665
PI,03/05/2020,742,742
PI,04/05/2020,784,784
PI,05/05/2020,875,875
PI,06/05/2020,949,949
PI,07/05/2020,1051,1051
PI,08/05/2020,1131,1131
PI,09/05/2020,1233,1233
PI,10/05/2020,1278,1278
PI,11/05/2020,1332,1332
PI,12/05/2020,1443,1443
PI,13/05/2020,,1538
PI,14/05/2020,,1641
PI,15/05/2020,,1751
PI,16/05/2020,,1864
PI,17/05/2020,,1965
PI,18/05/2020,,2056
PI,19/05/2020,,2181
PI,20/05/2020,,2298
PI,21/05/2020,,2423
PI,22/05/2020,,2556
PI,23/05/2020,,2691
SE,15/03/2020,1,1
SE,16/03/2020,1,1
SE,17/03/2020,4,4
SE,18/03/2020,5,5
SE,19/03/2020,6,6
