Estado,Data,obitos Acumulados,Projecao
PI,20/03/2020,0,0
PI,21/03/2020,0,0
PI,22/03/2020,0,0
PI,23/03/2020,0,0
PI,24/03/2020,0,0
PI,25/03/2020,0,0
PI,26/03/2020,0,0
PI,27/03/2020,0,0
PI,28/03/2020,1,1
PI,29/03/2020,1,1
PI,30/03/2020,3,3
PI,31/03/2020,4,4
PI,01/04/2020,4,4
PI,02/04/2020,4,4
PI,03/04/2020,4,4
PI,04/04/2020,4,4
PI,05/04/2020,4,4
PI,06/04/2020,4,4
PI,07/04/2020,4,4
PI,08/04/2020,5,5
PI,09/04/2020,6,6
PI,10/04/2020,7,7
PI,11/04/2020,7,7
PI,12/04/2020,7,7
PI,13/04/2020,8,8
PI,14/04/2020,8,8
PI,15/04/2020,8,8
PI,16/04/2020,8,8
PI,17/04/2020,8,8
PI,18/04/2020,9,9
PI,19/04/2020,10,10
PI,20/04/2020,12,12
PI,21/04/2020,14,14
PI,22/04/2020,15,15
PI,23/04/2020,15,15
PI,24/04/2020,16,16
PI,25/04/2020,17,17
PI,26/04/2020,18,18
PI,27/04/2020,20,20
PI,28/04/2020,21,21
PI,29/04/2020,24,24
PI,30/04/2020,24,24
PI,01/05/2020,24,24
PI,02/05/2020,26,26
PI,03/05/2020,28,28
PI,04/05/2020,28,28
PI,05/05/2020,29,29
PI,06/05/2020,30,30
PI,07/05/2020,35,35
PI,08/05/2020,37,37
PI,09/05/2020,38,38
PI,10/05/2020,42,42
PI,11/05/2020,45,45
PI,12/05/2020,49,49
PI,13/05/2020,,52
PI,14/05/2020,,56
PI,15/05/2020,,59
PI,16/05/2020,,63
PI,17/05/2020,,67
PI,18/05/2020,,72
PI,19/05/2020,,77
PI,20/05/2020,,82
PI,21/05/2020,,87
PI,22/05/2020,,93
PI,23/05/2020,,99
SE,15/03/2020,0,0
SE,16/03/2020,0,0
SE,17/03/2020,0,0
SE,18/03/2020,0,0
SE,19/03/2020,0,0
SE,20/03/2020,0,0
SE,21/03/2020,0,0
SE,22/03/2020,0,0
SE,23/03/2020,0,0
SE,24/03/2020,0,0
SE,25/03/2020,0,0
SE,26/03/2020,0,0
SE,27/03/2020,0,0
SE,28/03/2020,0,0
SE,29/03/2020,0,0
SE,30/03/2020,0,0
SE,31/03/2020,0,0
SE,01/04/2020,0,0
SE,02/04/2020,2,2
SE,03/04/2020,2,2
SE,04/04/2020,2,2
SE,05/04/2020,3,3
SE,06/04/2020,4,4
SE,07/04/2020,4,4
SE,08/04/2020,4,4
SE,09/04/2020,4,4
SE,10/04/2020,4,4
SE,11/04/2020,4,4
SE,12/04/2020,4,4
SE,13/04/2020,4,4
SE,14/04/2020,4,4
SE,15/04/2020,4,4
SE,16/04/2020,4,4
SE,17/04/2020,4,4
SE,18/04/2020,5,5
SE,19/04/2020,5,5
SE,20/04/2020,5,5
SE,21/04/2020,5,5
SE,22/04/2020,7,7
SE,23/04/2020,8,8
SE,24/04/2020,8,8
SE,25/04/2020,9,9
SE,26/04/2020,9,9
SE,27/04/2020,10,10
SE,28/04/2020,11,11
SE,29/04/2020,12,12
